scenario,r,B,popI,popF,Y,Ctot,Tl,Tc,Rev_total,Tr,G,rB,Exp_total,PB,BB,wealth_mean_I,wealth_med_I,wealth_sd_I,wealth_var_I,giniW_I,wealth_p90_I,wealth_p10_I,wealth_p90p10_I,wealth_mean_F,wealth_med_F,wealth_sd_F,wealth_var_F,giniW_F,wealth_p90_F,wealth_p10_F,wealth_p90p10_F,wealth_mean_T,wealth_med_T,wealth_sd_T,wealth_var_T,giniW_T,wealth_p90_T,wealth_p10_T,wealth_p90p10_T,cons_mean_I,cons_med_I,cons_sd_I,cons_var_I,giniC_I,cons_p90_I,cons_p10_I,cons_p90p10_I,cons_mean_F,cons_med_F,cons_sd_F,cons_var_F,giniC_F,cons_p90_F,cons_p10_F,cons_p90p10_F,cons_mean_T,cons_med_T,cons_sd_T,cons_var_T,giniC_T,cons_p90_T,cons_p10_T,cons_p90p10_T,sav_mean_I,sav_med_I,sav_sd_I,sav_var_I,giniS_I,sav_p90_I,sav_p10_I,sav_p90p10_I,sav_mean_F,sav_med_F,sav_sd_F,sav_var_F,giniS_F,sav_p90_F,sav_p10_F,sav_p90p10_F,sav_mean_T,sav_med_T,sav_sd_T,sav_var_T,giniS_T,sav_p90_T,sav_p10_T,sav_p90p10_T,share_borrow_I,share_lend_I,debt_mean_I,debt_med_I,debt_sd_I,debt_var_I,debt_p90_I,debt_p10_I,debt_p90p10_I,lendpos_mean_I,lendpos_med_I,lendpos_sd_I,lendpos_var_I,lendpos_p90_I,lendpos_p10_I,lendpos_p90p10_I,share_borrow_F,share_lend_F,debt_mean_F,debt_med_F,debt_sd_F,debt_var_F,debt_p90_F,debt_p10_F,debt_p90p10_F,lendpos_mean_F,lendpos_med_F,lendpos_sd_F,lendpos_var_F,lendpos_p90_F,lendpos_p10_F,lendpos_p90p10_F,share_borrow_T,share_lend_T,debt_mean_T,debt_med_T,debt_sd_T,debt_var_T,debt_p90_T,debt_p10_T,debt_p90p10_T,lendpos_mean_T,lendpos_med_T,lendpos_sd_T,lendpos_var_T,lendpos_p90_T,lendpos_p10_T,lendpos_p90p10_T
BASE,0.0664258003234864,1.16762540787294,0.653999999999998,0.345999999999998,0.56182,0.513822870424315,0.0518999999999999,0.0924881166763767,0.144388116676377,0.0194238,0.0474038644803793,0.0775604521959973,0.144388116676377,0.0775604521959973,0,0.914824663514073,0.738025751072961,0.866616340123009,0.751023880968198,0.310567980032907,2.24077253218884,-0.047381974248927,2240772532188.84,1.64546430821681,1.62815450643777,0.925242406612499,0.856073510994089,0.231261048417813,2.98429184549356,0.376738197424893,7.9213943950786,1.16762598058122,1.04171673819743,0.952979124392868,0.908169211528598,0.29828334370678,2.62300429184549,-0.0107296137339056,2623004291845.49,0.422390528989429,0.42172467594181,0.0849073280164892,0.00720925435089969,0.115689131502687,0.540196211956309,0.306949908314224,1.75988393325504,0.686645851055573,0.666681989704081,0.0969957049331392,0.00940816677547661,0.0783650996009887,0.870304970340787,0.577497418892024,1.50702832925304,1.0862454952816,1.07435531478233,0.174867299675173,0.0305785724956869,0.0914858972807955,1.32433416183692,0.850577824183776,1.55698176484646,-0.0788394864156393,-0.0889111664369717,0.0430380262037674,0.00185227169951617,0.212742504091091,-0.0085169194360924,-0.128886421314916,-8516919436.0924,0.149047671029972,0.171466718289604,0.0588146357324196,0.00345916137633721,0.0941316679844514,0.193578181983788,0.0212741092336353,9.09923794495389,0.0823469298661581,0.0803544646471193,0.0814455126341509,0.00663337152823963,0.103980268155989,0.203841648142898,-0.00454399229200986,203841648142.898,0.166190123839888,0.833809876160112,0.0889164988883161,0.0630901287553648,0.0913857059538268,0.00835134725267929,0.204463519313305,0.0107296137339056,19.056,1.11488450071707,0.98412017167382,0.811305619966546,0.658216808989301,2.33502145922747,0.125407725321888,18.6194387405886,0.0133873773693891,0.986612622630611,0.0859638237389693,0.0578540772532189,0.0913239752740208,0.00834006845984995,0.199227467811159,0.00549356223175967,36.2656249999999,1.66895811040299,1.64909871244635,0.909036106915116,0.826346643675391,2.98429184549356,0.41862660944206,7.12876768505228,0.113320373561095,0.886679626438905,0.0887958066682851,0.0630901287553648,0.0913850536145186,0.00835122802412844,0.204463519313305,0.00549356223175967,37.2187499999999,1.32820053539899,1.22497854077253,0.891983828654075,0.795635150580382,2.68583690987124,0.18824034334764,14.2681258549932
VAT_UP,0.0667055702209473,1.16762540787294,0.653999999999997,0.345999999999998,0.56182,0.50139816086997,0.0518999999999999,0.105293613782694,0.157193613782694,0.0194238,0.0598826951460629,0.0778871186366307,0.157193613782694,0.0778871186366307,0,0.918017002191433,0.743261802575107,0.863828608410152,0.74619986470782,0.308869840796385,2.24077253218884,-0.0421459227467812,2240772532188.84,1.63943219945061,1.61768240343348,0.922143873253984,0.85034932297986,0.231126982779267,2.98429184549356,0.376738197424893,7.9213943950786,1.16762666044311,1.04171673819743,0.948684771999032,0.900002796622855,0.296878039450196,2.6125321888412,-0.00549356223175967,2612532188841.2,0.411549849316114,0.411033224105967,0.0821325113391528,0.00674574941887606,0.114852229196307,0.525565842225461,0.299353551802324,1.75566930494453,0.671227050338819,0.652169106620864,0.093463853349719,0.00873549188297778,0.077249823551814,0.849986253644211,0.565776184411226,1.50233657241821,1.06101645399974,1.04958858786485,0.168927855692831,0.0285366204289778,0.090490899955777,1.2902696882812,0.83304694990188,1.54885590594045,-0.0778434427665854,-0.0880704988039984,0.0423520885946183,0.00179369940832639,0.206867272843355,-0.00788491805755964,-0.126762659597715,-7884918057.55964,0.147164674917116,0.168783808146177,0.0573486042430485,0.0032888624086258,0.0906128693061352,0.190541353145656,0.0205855223498757,9.25608541319367,0.0810064347846794,0.0786744267438619,0.0796602913503251,0.00634576201801868,0.100784185176336,0.200595738860075,-0.00298542406579105,200595738860.075,0.163300941327755,0.836699058672245,0.0821563643220649,0.0578540772532189,0.084115029371262,0.00707533816612827,0.188755364806867,0.00549356223175967,34.3593749999999,1.1132236903665,0.98412017167382,0.810623664073748,0.657110724756348,2.33502145922747,0.120171673819742,19.4307142857143,0.0124648838684089,0.987535116131591,0.0790530898715377,0.052618025751073,0.0841862960034868,0.0070873324347867,0.183519313304721,0.00549356223175967,33.4062499999999,1.66112329601118,1.63862660944206,0.907329502405733,0.823246825935834,2.98429184549356,0.41862660944206,7.12876768505228,0.111111665446821,0.888888334553179,0.082035909313162,0.0578540772532189,0.0841199323862224,0.00707616302466262,0.188755364806867,0.00549356223175967,34.3593749999999,1.32383535840287,1.21974248927039,0.889949398592155,0.792009932054538,2.67536480686695,0.18824034334764,14.2124943000456
LABTAX_UP,0.0681055068969727,1.16762540787294,0.653999999999997,0.345999999999998,0.56182,0.506928843319989,0.0622799999999999,0.091247191797598,0.153527191797598,0.0194238,0.0545816715286268,0.0795217202689711,0.153527191797598,0.0795217202689711,0,0.932797299728114,0.758969957081545,0.852504071300596,0.726763191584091,0.301632657010497,2.24077253218884,-0.0212017167381974,2240772532188.84,1.6115017566094,1.57579399141631,0.911354666011149,0.830567327260293,0.231317506292838,2.96858369098712,0.376738197424893,7.8796992481203,1.16762904180904,1.04171673819743,0.931082609335399,0.866914825406815,0.291038034635697,2.58635193133047,-0.000257510729613775,2586351931330.47,0.420342457491058,0.419402977306844,0.0814072999012347,0.00662714847720956,0.111414266944691,0.53366811904116,0.306569716328909,1.74077245930124,0.670592127516871,0.652463339422677,0.0906617004593358,0.00821954393017833,0.0748457627999383,0.830169398429623,0.56836809486561,1.46061928163986,1.07126066826236,1.059574183646,0.165367999415492,0.0273465752306822,0.0876921862622884,1.29626965627872,0.843203738292545,1.53731488300042,-0.0732336043672262,-0.0835054795754634,0.0393602589485573,0.00154922998449748,0.198105029149166,-0.00476832193794585,-0.117419431323035,-4768321937.94585,0.138449532786645,0.157413508031853,0.0508556824965836,0.00258630044219332,0.0823925612853148,0.174983593961655,0.0425770068938088,4.10981435116097,0.074297340491308,0.0712957562937177,0.0707784538152165,0.00500958952447273,0.0939295393648826,0.184666487266181,0.00239142418556315,77.2202975871025,0.149527191142102,0.850472808857899,0.0510651222686003,0.0369098712446352,0.0502241500994231,0.00252246525320938,0.115450643776824,0.00549356223175967,21.015625,1.10577659183387,0.973648068669528,0.80869464774034,0.653987033283872,2.32454935622318,0.120171673819742,19.3435714285714,0.00827403103952709,0.991725968960473,0.047144404872336,0.0316738197424893,0.0487474884565665,0.00237631763082308,0.110214592274678,0.00549356223175967,20.0624999999999,1.62533994402531,1.5862660944206,0.902403914086591,0.8143328241588,2.96858369098712,0.402918454935622,7.36770345121432,0.100653597746611,0.899346402253389,0.0509536082462165,0.0369098712446352,0.0501869830300714,0.00251873326566067,0.115450643776824,0.00549356223175967,21.015625,1.30401111613806,1.19356223175966,0.882532681168686,0.77886393333079,2.64394849785408,0.183004291845493,14.4474671669794
TRANSF_UP,0.0667834854125977,1.16762540787294,0.653999999999997,0.345999999999998,0.56182,0.516701569758157,0.0518999999999999,0.0930062825564682,0.144906282556468,0.02233737,0.0445908181624071,0.0779780943940609,0.144906282556468,0.0779780943940609,0,0.917237438601155,0.743261802575107,0.863812789879385,0.746172535959206,0.308917292564336,2.24077253218884,-0.0421459227467812,2240772532188.84,1.64092253879212,1.61768240343348,0.923081267512546,0.852079026432568,0.231206030789968,2.98429184549356,0.376738197424893,7.9213943950786,1.16763248326723,1.04171673819743,0.949381728419161,0.901325666256154,0.29705772355051,2.61776824034335,-0.00549356223175967,2617768240343.35,0.426026992589328,0.425615042703647,0.0845319776787515,0.00714565525028095,0.114184675092349,0.543441905180776,0.310576113404797,1.74978654740414,0.688092244522359,0.668072106502497,0.0961479890434091,0.00924443579709151,0.0774774135292986,0.871439089257786,0.579895430281697,1.50275212348969,1.09183253335158,1.07994423384096,0.173589204283927,0.0301332118439268,0.0903395094894474,1.32824553416508,0.857845055427435,1.54835133193519,-0.0780881977998739,-0.088433136640288,0.0426907118977561,0.00182249688233721,0.210082079150008,-0.00769633218324556,-0.127459848396933,-7696332183.24556,0.147628256339283,0.169709383518969,0.0576830921402313,0.00332733911885842,0.0921542446701347,0.190883282179691,0.0210032856062661,9.08825817817492,0.0811259411520178,0.0789597532466008,0.0799184994536419,0.00638696655492176,0.102206898410687,0.200779526773068,-0.0035273561297352,200779526773.068,0.163819505413559,0.836180494586441,0.0801349065228121,0.0578540772532189,0.0817920583206096,0.00668994080432201,0.183519313304721,0.00549356223175967,33.4062499999999,1.11263669193124,0.98412017167382,0.811160209050539,0.657980884746914,2.33502145922747,0.120171673819742,19.4307142857143,0.0122498196065199,0.98775018039348,0.0769118016628088,0.052618025751073,0.0818424352142004,0.00669818420179059,0.178283261802575,0.00549356223175967,32.4531249999999,1.66222667135738,1.63862660944206,0.908577119530477,0.825512382134298,2.98429184549356,0.41862660944206,7.12876768505228,0.111376394124324,0.888623605875676,0.080012251009651,0.0578540772532189,0.0817963006173107,0.00669063479467747,0.183519313304721,0.00549356223175967,33.4062499999999,1.324007095345,1.21974248927039,0.891012080094514,0.793902526874353,2.6806008583691,0.18824034334764,14.2403100775194
INCDROP_NO_TR,0.0649048233032227,1.16762540787294,0.653999999999997,0.345999999999998,0.484056,0.44738693607663,0.0467099999999999,0.0805296484937934,0.127239648493793,0.01553904,0.0359160877114468,0.0757845207823465,0.127239648493793,0.0757845207823465,0,0.925313453373132,0.769442060085837,0.867542135235891,0.752629356409648,0.310031483353102,2.24077253218884,-0.052618025751073,2240772532188.84,1.62563304720173,1.60197424892704,0.918696676923599,0.844003584190463,0.231649643829281,2.97381974248927,0.376738197424893,7.89359763043973,1.16762403283783,1.05218884120172,0.946163447239631,0.895225268892383,0.296520307392811,2.59682403433476,-0.0107296137339056,2596824034334.76,0.357845622612136,0.357820895735176,0.0809153878405553,0.00654729998938749,0.13014999574391,0.46957750136161,0.247774646077976,1.89517978854798,0.616635545919924,0.599638711593046,0.0922628570377665,0.00851243478877133,0.0831579517915608,0.779890188369229,0.511876131869633,1.52359162659269,0.952628409816782,0.943285925428758,0.16806796354534,0.0282468403702778,0.100369805300769,1.17859861266816,0.725384128776369,1.62479239055907,-0.0755718247481766,-0.0845281560155685,0.0388853211239221,0.00151206819891054,0.219888197294992,-0.0112533194407521,-0.120904506342268,-11253319440.7521,0.142862344245957,0.161402175883128,0.0544060416394873,0.00296001736687762,0.0936450556627624,0.185438290529271,0.037744822646211,4.91294639975969,0.0793178100170098,0.076266869633705,0.0765075703628191,0.00585340832282172,0.106395214658904,0.194662847715489,-0.000893552752312177,194662847715.489,0.158577265525202,0.841422734474798,0.118900635324109,0.0840343347639485,0.121344556038608,0.0147245012802068,0.272532188841202,0.0107296137339056,25.4,1.12210943715631,0.999828326180258,0.804656142442899,0.647471507571086,2.32978540772532,0.13587982832618,17.1459254579912,0.0167249011465535,0.983275098853446,0.114423713917165,0.0787982832618026,0.116409368435825,0.0135511410596277,0.267296137339056,0.0107296137339056,24.912,1.65523033625445,1.62815450643777,0.897636955599445,0.80575210405784,2.97905579399142,0.429098712446352,6.94258851770354,0.109496347450189,0.89050365254981,0.118664032733049,0.0840343347639485,0.121092911320199,0.0146634931720016,0.272532188841202,0.0107296137339056,25.4,1.32578603986104,1.22497854077253,0.880364720122657,0.775042040436645,2.65965665236051,0.198712446351931,13.3844492440605
INCDROP_TR_UP,0.0652679443359375,1.16762540787294,0.653999999999997,0.345999999999998,0.484055999999999,0.449766134481209,0.0467099999999999,0.0809579042066176,0.127667904206617,0.017869896,0.03358949808034,0.0762085101262774,0.127667904206617,0.0762085101262774,0,0.927390864875615,0.769442060085837,0.865251406151562,0.748659995847255,0.308696082952274,2.24077253218884,-0.047381974248927,2240772532188.84,1.62170575683091,1.59673819742489,0.91691081191392,0.840725437004643,0.231619376284167,2.97381974248927,0.376738197424893,7.89359763043973,1.16762381749215,1.05218884120172,0.943186134071585,0.889600083504902,0.295520251888127,2.59158798283262,-0.00549356223175967,2591587982832.62,0.360783436088117,0.360574821275884,0.0806434055618489,0.00650335886061285,0.128652901560253,0.472236911947031,0.250788964615949,1.88300515004797,0.617958864969886,0.601125658464982,0.0916095713603038,0.00839231356481859,0.0823647165227887,0.781061927695216,0.513940900042751,1.51975047642685,0.957288443181859,0.947928197200159,0.167089603218302,0.0279189355036495,0.0992943157199641,1.18185421061701,0.731544021317931,1.61556130072366,-0.074922610982521,-0.0839343875581317,0.0385773308949547,0.00148821045897883,0.217391495939238,-0.010597260963012,-0.119664939197097,-10597260963.012,0.141636801082054,0.159887542799914,0.0534683991421976,0.00285886970682935,0.0918975935636233,0.183138665648304,0.0374420267375467,4.89125941103645,0.0782969857827871,0.0751171327407095,0.0752119925796864,0.0056568438278068,0.104771419031763,0.192000398460721,3.12718823302638e-05,6139.71351110228,0.156694432915424,0.843305567084576,0.111794201974939,0.0787982832618026,0.114731787682192,0.0131633831047517,0.256824034334764,0.0107296137339056,23.936,1.12048162710936,0.994592274678111,0.804600143018312,0.647381390145088,2.32978540772532,0.13587982832618,17.1459254579912,0.0158710045074417,0.984128995492558,0.107991397651543,0.0735622317596567,0.111185993493358,0.0123623251491051,0.251587982832618,0.0107296137339056,23.448,1.64960050585368,1.62291845493562,0.897249590140312,0.805056827006959,2.97381974248927,0.423862660944206,7.0159983799109,0.107969526686262,0.892030473313737,0.111600790028644,0.0787982832618026,0.114557143465655,0.0131233391190106,0.256824034334764,0.0107296137339056,23.936,1.32245852273081,1.21974248927039,0.879570843065039,0.773644867970143,2.65442060085837,0.198712446351931,13.3580993520518
INF_BASE,0.0664258003234864,1.16762540787294,0.653999999999998,0.345999999999998,0.56182,0.513822870424315,0.0518999999999999,0.0924881166763767,0.144388116676377,0.0194238,0.0474038644803793,0.0775604521959973,0.144388116676377,0.0775604521959973,0,0.914824663514073,0.738025751072961,0.866616340123009,0.751023880968198,0.310567980032907,2.24077253218884,-0.047381974248927,2240772532188.84,1.64546430821681,1.62815450643777,0.925242406612499,0.856073510994089,0.231261048417813,2.98429184549356,0.376738197424893,7.9213943950786,1.16762598058122,1.04171673819743,0.952979124392868,0.908169211528598,0.29828334370678,2.62300429184549,-0.0107296137339056,2623004291845.49,0.422390528989429,0.42172467594181,0.0849073280164892,0.00720925435089969,0.115689131502687,0.540196211956309,0.306949908314224,1.75988393325504,0.686645851055573,0.666681989704081,0.0969957049331392,0.00940816677547661,0.0783650996009887,0.870304970340787,0.577497418892024,1.50702832925304,1.0862454952816,1.07435531478233,0.174867299675173,0.0305785724956869,0.0914858972807955,1.32433416183692,0.850577824183776,1.55698176484646,-0.0788394864156393,-0.0889111664369717,0.0430380262037674,0.00185227169951617,0.212742504091091,-0.0085169194360924,-0.128886421314916,-8516919436.0924,0.149047671029972,0.171466718289604,0.0588146357324196,0.00345916137633721,0.0941316679844514,0.193578181983788,0.0212741092336353,9.09923794495389,0.0823469298661581,0.0803544646471193,0.0814455126341509,0.00663337152823963,0.103980268155989,0.203841648142898,-0.00454399229200986,203841648142.898,0.166190123839888,0.833809876160112,0.0889164988883161,0.0630901287553648,0.0913857059538268,0.00835134725267929,0.204463519313305,0.0107296137339056,19.056,1.11488450071707,0.98412017167382,0.811305619966546,0.658216808989301,2.33502145922747,0.125407725321888,18.6194387405886,0.0133873773693891,0.986612622630611,0.0859638237389693,0.0578540772532189,0.0913239752740208,0.00834006845984995,0.199227467811159,0.00549356223175967,36.2656249999999,1.66895811040299,1.64909871244635,0.909036106915116,0.826346643675391,2.98429184549356,0.41862660944206,7.12876768505228,0.113320373561095,0.886679626438905,0.0887958066682851,0.0630901287553648,0.0913850536145186,0.00835122802412844,0.204463519313305,0.00549356223175967,37.2187499999999,1.32820053539899,1.22497854077253,0.891983828654075,0.795635150580382,2.68583690987124,0.18824034334764,14.2681258549932
INF_HIGH,0.0711750030517578,1.16762540787294,0.749999999999997,0.249999999999999,0.4975,0.479091696238411,0.0375,0.086236505322914,0.123736505322914,0.022275,0.0183557633542474,0.0831057419686666,0.123736505322914,0.0831057419686666,0,0.970122384431103,0.790386266094421,0.878015426343847,0.770911088897767,0.303037689255975,2.31931330472103,-0.000257510729613775,2319313304721.03,1.76017427448468,1.79047210300429,0.934087571156689,0.872519590589402,0.221695709202745,2.98952789699571,0.434334763948498,6.88300395256917,1.1676353569445,1.03124463519313,0.955692072402982,0.913347337253907,0.297983414498798,2.62824034334764,-0.000257510729613775,2628240343347.64,0.408822292293303,0.405859119620915,0.0778419076884117,0.0060593625925712,0.109354091142234,0.519392721390041,0.304801882228184,1.70403383861392,0.689899908073733,0.661471883328604,0.111818454508291,0.0125033667686227,0.0900292576198993,0.900660726433886,0.565535644371502,1.59257994681276,1.05264768372469,1.03218934894836,0.17141446391616,0.0293829184396646,0.0916229262944489,1.28942539502232,0.833242717567235,1.5474787451932,-0.0537111211112258,-0.062958016251342,0.0313626147674522,0.000983613605051611,0.158429844760913,0,-0.088106279698746,0,0.161198449019271,0.196900035067665,0.0731520044297124,0.00535121575208466,0.11277998365775,0.213581717791147,0,213581717791.147,0.13374539307906,0.138514248354898,0.0707797932839614,0.00500977913732031,0.0808474746465081,0.226418910865658,0.0623080627907062,3.63386214760364,0.13412192117059,0.86587807882941,0.00612376624194191,0.00549356223175967,0.00648384453748263,4.20402399862433e-05,0.0159656652360515,0.000257510729613775,61.9999999999901,1.12133998938615,0.999828326180258,0.848424438026161,0.719824027040007,2.39261802575107,0.0625751072961374,38.235939643347,0.00134240630392799,0.998657593696072,0.00512600374416278,0.00549356223175967,0.00608835117812697,3.70680200682001e-05,0.0107296137339056,0.000257510729613775,41.6666666666601,1.7625472101503,1.79047210300429,0.932468667670946,0.869497816188028,2.98952789699571,0.439570815450644,6.80101542667448,0.100927042453924,0.899072957546076,0.00612044849222322,0.00549356223175967,0.00648282390088462,4.20270057298809e-05,0.0159656652360515,0.000257510729613775,61.9999999999901,1.2993974136403,1.1987982832618,0.918615446931491,0.843854339341143,2.68583690987124,0.109699570815451,24.4835680751174
INF_LOW,0.0630718231201172,1.16762540787294,0.449999999999998,0.549999999999997,0.6985,0.594508101426226,0.0825,0.107011458256721,0.189511458256721,0.013365,0.102502195060804,0.0736442631959168,0.189511458256721,0.0736442631959168,0,0.851220212039223,0.748497854077253,0.879894462723955,0.774214265532277,0.332166170922463,2.13605150214592,-0.225407725321888,2136051502145.92,1.42649495918633,1.38206008583691,0.902917662086496,0.815260304507744,0.248867253143608,2.75914163090129,0.245836909871245,11.2234636871508,1.16762132297013,1.09931330472103,0.937388656352482,0.878697493058312,0.294399538833469,2.53399141630901,-0.0316738197424893,2533991416309.01,0.469170048228405,0.474834041761039,0.0974246657317745,0.009491565492948,0.118948363682015,0.596692141689171,0.337956914090679,1.76558643072788,0.697057417678988,0.691756897221933,0.0778165772082951,0.00605541968841456,0.0625199543299443,0.799320252380325,0.603373859242536,1.32475121375622,1.17695711050918,1.18141702201228,0.176335299767166,0.0310941379439763,0.0851717808262407,1.40324869458622,0.934906985348831,1.50095005875119,-0.14347372655543,-0.153395045019878,0.0549547495766745,0.003020024501035,0.261164480763417,-0.066830498327724,-0.209672064674414,-66830498327.724,0.117338105798497,0.120895910553399,0.0371280010491813,0.00137848846190801,0.06955875265904,0.153524228189603,0.0808261950987745,1.89943653789451,-0.0339301959370549,-0.0457006973565798,0.0873580780662494,0.00763143380342892,0.127770476965218,0.100297138793731,-0.126486542817069,100297138793.731,0.186105025347755,0.813894974652245,0.290255487894703,0.251587982832618,0.208963696612974,0.043665826502159,0.644291845493562,0.0369098712446352,17.4558139534884,1.11222976571145,0.994592274678111,0.758418909577365,0.57519924240452,2.24600858369099,0.183004291845493,12.2729831144465,0.0482444180385605,0.95175558196144,0.219256635558224,0.183519313304721,0.168180950100584,0.0282848319767351,0.476738197424893,0.0264377682403434,18.0324675324675,1.50991798231255,1.45012875536481,0.843148300834491,0.71089905720009,2.78008583690987,0.397682403433476,6.99071875674509,0.110281691327698,0.889718308672302,0.273172742344396,0.230643776824034,0.202203123124862,0.0408861030014481,0.607639484978541,0.0369098712446352,16.4627906976744,1.34620953996985,1.25639484978541,0.832672001932782,0.693342662802747,2.59682403433476,0.282489270386266,9.19264661197204
NO_FISC,0.000588245,0,0.653999999999998,0.345999999999998,0.561819999999999,0.55040414059665,0,0,0,0,0,0,0,0,0,-0.0452795499354196,-0.283004291845494,0.711838235432134,0.506713673423134,0.6020291770627,1.01030042918455,-0.66,1010300429184.55,0.954800718794702,0.879399141630901,0.907476633092196,0.823513839608348,0.321371868829873,2.25124463519313,-0.214935622317597,2251244635193.13,0.300748223045202,0.0625751072961374,0.917957983482814,0.842646859439835,0.524804145881263,1.68575107296137,-0.66,1685751072961.37,0.420414511844198,0.401342161396261,0.116082859567765,0.0134752302854294,0.195018474413959,0.593930177285964,0.2900117583,2.04795205810786,0.796107080492905,0.798945337255547,0.0793837764208613,0.00630178395883729,0.0567644115189423,0.895912276614483,0.684682753560088,1.30850714722414,1.20390145777737,1.17523273082638,0.224594392306485,0.0504426410555193,0.125767518908641,1.52426118117489,0.916008366840453,1.66402539141914,-0.109051458022572,-0.0884888947666471,0.100659688882736,0.0101323729659692,0.159000463207553,0,-0.263335873109998,0,0.203969033783285,0.201571964892522,0.0780217635481238,0.00608739558715934,0.17986482571422,0.313041455411586,0.105412006785946,2.96969448695972,0.111076718559472,0.154840888161607,0.207586150111381,0.0430920097180648,0.192742183837966,0.367015149759547,-0.192277911895067,367015149759.547,0.638095457589573,0.361904542410427,0.486090037892443,0.602403433476395,0.209842786012106,0.0440339948413225,0.66,0.136394849785408,4.83889238514789,0.731939680720791,0.570472103004292,0.613038054294703,0.375815656013435,1.63862660944206,0.088755364806867,18.4622823984526,0.167082372652694,0.832917627347306,0.290600656986347,0.272532188841202,0.186555574340419,0.0348029823174836,0.565751072961373,0.047381974248927,11.9402173913044,1.20462688399802,1.10454935622318,0.779859871684929,0.608181419464434,2.35072961373391,0.235364806866953,9.98760029175784,0.475124930201413,0.524875069798587,0.46230400116855,0.550042918454936,0.216783209119233,0.0469949597560331,0.66,0.110214592274678,5.98831775700935,0.991474751376435,0.837510729613734,0.747475458615018,0.558719561231731,2.10987124463519,0.13587982832618,15.527479469362
